,Title,Location,Company,Review,Summary
77,Data Scientist - Text Mining (m/w/d),,        NorCom Information Technology GmbH & Co. KGaA,,            Du implementierst Prototypen und setzt diese in Big Data Pipelines auf großen Daten produktiv. Du konzipierst neuartige Datenanalysen für Real-World-Problems und setzt diese auf Basis neuester...
78,            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...,,        metafinanz Informationssysteme GmbH,,            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data Mining sowie geeignete Projekterfahrung...
79,Data Scientist (m/w/d) - München,,        IUBH Internationale Hochschule GmbH,,Data Scientist (m/w/d) - München. Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche....
80,Data Scientist - Automotive (m/w/d),,        NorCom Information Technology GmbH & Co. KGaA,,            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
81,            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...,,        metafinanz Informationssysteme GmbH,,            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data...
82,Data Scientist / Machine Learning,München,        Acanthos Ventures GmbH,,            Support developing and optimizing data warehouses. Leverage data to gain insights in terms of trends and user behaviour for different international clients....
83,Data Scientist (m/w/d),München,        jambit GmbH,,Data Scientist (m/w/d)*. Wir wachsen weiter und suchen deshalb fortlaufend:....
84,Data Scientist (m/w/d),München,        finconomy AG,,"Data Scientist (m/w/d). Praktische Erfahrung mit Python ML und KI Ökosystem, ETL und Data Engineering sowie strukturierten und unstrukturierten Datenbanken...."
85,Data Scientist (m/w/d),München,        SWMH Service GmbH,,Data Scientist (m/w/d). Breite Erfahrung mit prinzipiellen Data Science Fragestellungen:. Du kannst komplexe Data Science Sachverhalte verständlich beschreiben....
86,            (Lead) Data Scientist (m/f/d),München,        Fineway GmbH,,"            Excellent knowledge & experience in data modelling, data representation, data visualization & (No)SQL databases...."
87,Data Scientist (m/w/d),München,        iPAXX,,"            Entwicklung von Big Data ETL pipelines auf Basis gängiger open source Frameworks (Hadoop, Hive, Python, Spark)...."
88,Data Scientist (m/w/d),München,        Modis Contracting Solutions GmbH,,Data Scientist (m/w/d). Erfahrung als Data Scientist (m/w/d) in verschiedenen Projekten. Für unseren Kunden in München suchen wir ab Mai 2019 bis Ende 2019...
89,Data Scientist (m/w/d) - München,München,        IUBH Internationale Hochschule GmbH,,            Du bist Data Scientist aus Leidenschaft und begeisterst Dich für die Fragestellungen unserer Fachbereiche....
90,Data Scientist (w/m/d),München,        E.ON Energie Deutschland,,            Die Herausforderung Du analysierst Daten und suchst nach Verbesserungspotentialen in unseren Vertriebs- und Marketingaktivitäten Dafür zeigst Du...
91,            Battery Data Scientist (w/m/d),Garching bei München,        TÜV SÜD Battery Testing,,            - Aufbau von Lithium-Ionen-Batteriemodellen - Parametrierung und Prüfung entwickelter Batteriemodelle anhand von Messungen/Daten - Aufbereitung und...
92,            Lead Data Scientist (w/m/d) Machine Learning,,        Siemens AG,,            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw....
93,Data Scientist - Text Mining (m/w/d),,        NorCom Information Technology GmbH & Co. KGaA,,            Du implementierst Prototypen und setzt diese in Big Data Pipelines auf großen Daten produktiv. Du konzipierst neuartige Datenanalysen für Real-World-Problems...
94,            Senior Data Scientist (m/w/d),,        AKKA TECHNOLOGIES,,            Als Senior Data Scientist sind Sie für die Konzeption und Umsetzung von innovativen Lösungen auf Basis von Analytics und Data Science für unsere Kunden...
95,            Senior Data Scientist (w/m/d) – Köln,,        EnBW Energie Baden-Württemberg AG,,            Senior Data Scientist(w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics....
96,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to..."
97,            Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’...,,        Universitätsklinikum Düsseldorf,,            Analysis of genomic data. Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’ technology). Proven experience of analyzing genome-scale data sets in a...
98,Data Scientist (m/w/d),,        Michael Page,,"            Fundierte Kenntnisse im Umgang mit Datenbanken und im Einsatz/Anwendung von Big Data Technologien, wie z.b...."
99,Data Analyst/Scientist (m/w/d),Düsseldorf,        Deutsche Apotheker- und Ärztebank eG,,            Sie gestalten den Neuaufbau einer dynamischen Data Analytics Einheit in der apoBank gemeinsam mit 4 Kollegen (m/w/d)....
100,"Data Scientist (f/m/d) Permanent contract, full-time, Düssel...",Düsseldorf,"        real,- Digital Services GmbH",,"            As a data scientist, you drive the further development of the eFood online shop on the basis of data:. You have knowledge in generating insights from different..."
101,            (Junior) Data Scientist (m/w/d) Fashion,Düsseldorf,        CHECK24 Vergleichsportal,,            Ergebnisorientierte Nutzung von Data Mining Methoden und Algorithmen. Aufbau und Entwicklung von neuen Technologien im Bereich Data Science und Machine Learning...
102,Data Scientist – User Profiling,Düsseldorf,        trivago,,            Are you an intrinsically curious data scientist looking for a position with the freedom to explore some big data?...
103,            (Junior) Data Scientist (m/w/d),Düsseldorf,        CGI,,"            Kenntnisse in Big Data Technologien (z.B. Gute Kenntnisse in der Anwendung von Machine Learning, Optimierungs- und Data Mining-Methoden mit Hilfe von gängigen..."
104,            (Associate) Data Scientist (m/f/d),Düsseldorf,        QIAGEN,,            High confidence in handling structured and unstructured data sources in big data ecosystems (e.g. Experience in data visualization tools (e.g....
105,            Materials Scientist (gn),Düsseldorf,        Japan Management,,"            Maintain detailed, accurate, legible records of all experiments, and graph all relevant trend data along with the appropriate controls and blanks...."
106,Data Scientist (m/w/d),Düsseldorf,        MediaCom Agentur für Media-Beratung GmbH,,            Anwendungserfahrungen in den Bereichen Data Mining und Machine Learning (Python:. WAS DU MITBRINGST....
107,Data Scientist,Düsseldorf,        Flint Data,,Data Science Consultant. Konzipieren und implementieren von Data Pipelines in Zusammenarbeit mit Data Engineers. Erfahrung im Bereich Data Science....
108,Data Scientist (m/w/d),Düsseldorf,        Publicis Media,,"Data und Technology, Analytics und Insights, Research, Content, Performance, Buying und Business Development...."
109,            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...,,        LIDL Stiftung & Co. KG,,"            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und..."
110,            Junior Data Scientist (m/w/d) Medical Devices am Standort Be...,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik...
111,            Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’...,,        Universitätsklinikum Düsseldorf,,            Analysis of genomic data. Staff scientist (m/f/d) for bioinformatics (NGS ‘long-read’ technology). Proven experience of analyzing genome-scale data sets in a...
112,Data Scientist (f/m/x) - Frankfurt am Main,,        COBI.Bike GmbH,,"            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to..."
113,            Junior Data Scientist (m/w/d) Medical Devices am Standort Be...,,        Fresenius Medical Care,,            Schlussendlich arbeiten Sie zusammen mit dem Senior Data Scientist an interessanten Projekten – mit moderner Technologie und AI machen Sie unsere Medizintechnik...
114,            Junior Data Scientist,Düsseldorf,        ORAYLIS GmbH Business Intelligence,,"            Als Data Scientist entwickelst du in enger Zusammenarbeit mit deinen erfahrenen Kollegen datengetriebene Lösungen, die das Geschäft unserer Kunden voranbringen...."
115,Data Scientist (m/w/d),Duisburg,        PKF FASSELT SCHLAGE,,            Unterstützung unseres Data Lab Teams bei der Konzeption und Realisierung von datenbasierten Algorithmen und Analysetools für unsere Beratungsfelder....
116,Data Scientist (m/w/d),Langenfeld,        Control€xpert GmbH,,            Als Data Scientist entwickelst du Datenmodelle mit modernsten Machine Learning Technologien und nutzt die Fähigkeiten aktueller Künstlicher Intelligenz....
117,Data Scientist (Big Data) (m/w/x),Mülheim an der Ruhr,        ALDI SÜD,,"Data Scientist (Big Data) (m/w/x) (ID:33702). Umsetzung internationaler Projekte im Bereich Analytics, Big Data und Machine Learning...."
118,Data Scientist (m/w/d) – Advanced Analytics,Düsseldorf,        McKinsey & Company,,"Data Scientist (m/w/d) – Advanced Analytics. In interdisziplinären Teams, bestehend aus Beratern, Experten und Data Scientists, bringen Sie Ihre Expertise ein...."
119,Data Scientist Intern - Advanced Analytics,Düsseldorf,        McKinsey & Company,,"            In interdisziplinären Teams, bestehend aus Beratern, Fachexperten und Data Scientists, bringen Sie Ihre Expertise ein...."
120,            Senior Data Scientist / Machine Learning Developer (m/w/d) F...,Düsseldorf,        CHECK24 Vergleichsportal Shopping GmbH,,            Perspektivisch Aufbau und Führung eines Teams von Data Scientists. Verantwortung für den Aufbau und die Weiterentwicklung neuer Technologien im Bereich Data...
121,Data Scientist - Advanced Analytics,Düsseldorf,        McKinsey & Company,,"            In interdisziplinären Teams, bestehend aus Beratern, Fachexperten und Data Scientists, bringen Sie Ihre Expertise ein...."
122,Data Scientist (m/w/d),Duisburg,        PKF Deutschland GmbH,,Data Scientist (m/w/d). Unterstützung unseres Data Lab Teams bei der Konzeption und Realisierung von datenbasierten Algorithmen und Analysetools für unsere...
123,            Senior Data Scientist,Düsseldorf,        Flint Data,,"Data Science Consultant. + 3 Jahre relevante Data Science Berufserfahrung. Um der Firmenphilosophie weiterhin gerecht zu werden, sucht unser Klient für den..."
124,Data Scientist (m/w/d),,        Michael Page,,"            Fundierte Kenntnisse im Umgang mit Datenbanken und im Einsatz/Anwendung von Big Data Technologien, wie z.b...."
125,            (Senior) Data Scientist Advanced Analytics (m/w/d) - Neckars...,,        LIDL Stiftung & Co. KG,,"            Du bearbeitest Projekte in interdisziplinären, agilen Teams aus Data Scientists, Data Engineers, Software-Entwicklern und Visualisierungsexperten und..."
126,            Senior Data Scientist (w/m/d) – Köln,,        EnBW Energie Baden-Württemberg AG,,            Senior Data Scientist(w/m/d). Dann kommen Sie zu ins „EnBW Data Lab“. Arbeiten mit neusten Technologien und Konzepten im Bereich Big Data Analytics....
